#Data obtained from http://www.physics.nist.gov/PhysRefData/Elements/cover.html                  
#Atom radi from Atomic radii and covalent radii, "Chemical Systems," Chemical Bond Approach Project (1964), McGraw-Hill                  
#(see http://dl.clackamas.cc.or.us/ch104-07/atomic_size.htm)                  
#Name Symbol Number Row Col Mass Density Bond_radius Vdw_radius Valence Lone_pairs Artificial Red Green Blue    Bond_radius
#Unit-> NA NA NA NA u g/cm**3 a0 a0 NA NA NA NA NA NA    A
Platinum Pt 78 6 10 195.078 21.27 0.730264547454 1.7 NA NA 0 NA NA NA    1.38
Gold Au 79 6 11 196.96655 18.88 0.762015179952 1.7 NA NA 0 NA NA NA    1.44
Mercury Hg 80 6 12 200.59 14.193 0.804349356616 1.9 NA NA 0 NA NA NA    1.52
Thallium Tl 81 6 13 204.3833 11.86 0.904893026193 1.75 NA NA 0 NA NA NA    1.71
Lead Pb 82 6 14 207.2 11.48 0.926060114525 1.74 NA NA 0 NA NA NA    1.75
Bismuth Bi 83 6 15 208.98038 9.86 0.772598724118 1.74 NA NA 0 NA NA NA    1.46
Polonium Po 84 6 16 209 NA 0.74084809162 1.88 NA NA 1 NA NA NA    1.4
Astatine At 85 6 17 210 NA 0.74084809162 0.2 NA NA 1 NA NA NA    1.4
Radon Rn 86 6 18 222 NA 0.709097459122 0.2 0 4 1 NA NA NA    1.34
Francium Fr 87 7 1 223 NA 1.42877846241 0.2 NA NA 1 NA NA NA    2.7
Radium Ra 88 7 2 226 5 1.16418985826 2.1 NA NA 1 NA NA NA    2.2
Actinium Ac 89 7 3 227 NA 1.16418985826 2.08 NA NA 1 NA NA NA    2.2
Thorium Th 90 10 4 232.0381 NA NA 1.99 NA NA 0 NA NA NA    NA
Protactinium Pa 91 10 5 231.03588 NA NA 1.81 NA NA 0 NA NA NA    NA
Uranium U 92 10 6 238.02891 18.7 NA 1.78 NA NA 0 NA NA NA    NA
Neptunium Np 93 10 7 237 NA NA 1.75 NA NA 1 NA NA NA    NA
Plutonium Pu 94 10 8 244 NA NA 0.2 NA NA 1 NA NA NA    NA
Americium Am 95 10 9 243 NA NA 1.71 NA NA 1 NA NA NA    NA
Curium Cm 96 10 10 247 NA NA 0.2 NA NA 1 NA NA NA    NA
Berkelium Bk 97 10 11 247 NA NA 0.2 NA NA 1 NA NA NA    NA
Californium Cf 98 10 12 251 NA NA 1.73 NA NA 1 NA NA NA    NA
Einsteinium E 99 10 13 252 NA NA 0.1 NA NA 1 NA NA NA    NA
Fermium Fm 100 10 14 257 NA NA 0.2 NA NA 1 NA NA NA    NA
Mendelevium Mv 101 10 15 258 NA NA NA NA NA 1 NA NA NA    NA
Nobelium No 102 10 16 259 NA NA NA NA NA 1 NA NA NA    NA
Lawrencium Lr 103 10 17 262 NA NA NA NA NA 1 NA NA NA    NA
Rutherfordium Rf 104 7 4 261 NA NA NA NA NA 1 NA NA NA    NA
Dubnium Db 105 7 5 262 NA NA NA NA NA 1 NA NA NA    NA
Seaborgium Sg 106 7 6 266 NA NA NA NA NA 1 NA NA NA    NA
Bohrium Bh 107 7 7 264 NA NA NA NA NA 1 NA NA NA    NA
Hassium Hs 108 7 8 277 NA NA NA NA NA 1 NA NA NA    NA
Meitnerium Mt 109 7 9 268 NA NA NA NA NA 1 NA NA NA    NA
Ununnilium Uun 110 7 10 281 NA NA NA NA NA 1 NA NA NA    NA
Unununium Uuu 111 7 11 272 NA NA NA NA NA 1 NA NA NA    NA
Ununbium Uub 112 7 12 285 NA NA NA NA NA 1 NA NA NA    NA
Ununtrium Uut 113 7 13 NA NA NA NA NA NA 1 NA NA NA    NA
Ununquadium Uuq 114 7 14 289 NA NA NA NA NA 1 NA NA NA    NA
Ununpentium Uup 115 7 15 NA NA NA NA NA NA 1 NA NA NA    NA
Ununhexium Uuh 116 7 16 292 NA NA NA NA NA 1 NA NA NA    NA
Ununseptium Uus 117 7 17 NA NA NA NA NA NA 1 NA NA NA    NA
Ununoctium Uuo 118 7 18 NA NA NA NA NA NA 1 NA NA NA    NA
